Quarter,Time,Down,ToGo,Location,ARI,HOU,Detail,EPB,EPA,week,year,game_id
3.0,2:52,1.0,10.0,HOU 25,16.0,21.0,C.J. Stroud sacked by Dante Stills for -10 yards,0.61,-1.43,11.0,2023,158
3.0,2:20,2.0,20.0,HOU 15,16.0,21.0,C.J. Stroud pass complete short right to Steven Sims for 2 yards (tackle by Krys Barnes),-1.43,-2.02,11.0,2023,158
3.0,1:39,3.0,19.0,HOU 17,16.0,21.0,C.J. Stroud pass incomplete short left intended for Robert Woods (defended by Krys Barnes),-2.02,-2.32,11.0,2023,158
3.0,1:30,4.0,19.0,HOU 17,16.0,21.0,"Cameron Johnston punts 44 yards, returned by Greg Dortch for 3 yards (tackle by Neville Hewitt). Penalty on Marco Wilson: Illegal Block Above the Waist, 10 yards (accepted)",-2.32,-1.07,11.0,2023,158
3.0,1:20,1.0,10.0,ARI 32,16.0,21.0,Rondale Moore left end for 2 yards (tackle by Blake Cashman and Dylan Horton),1.07,0.8,11.0,2023,158
3.0,0:45,2.0,8.0,ARI 34,16.0,21.0,James Conner up the middle for 9 yards (tackle by DeAndre Houston-Carson),0.8,1.8,11.0,2023,158
3.0,0:18,1.0,10.0,ARI 43,16.0,21.0,Kyler Murray pass complete short left to Greg Dortch for 10 yards (tackle by Blake Cashman),1.8,2.46,11.0,2023,158
4.0,15:00,1.0,10.0,HOU 47,16.0,21.0,Kyler Murray pass complete short right to Greg Dortch for 17 yards (tackle by Derek Stingley),2.46,3.58,11.0,2023,158
4.0,14:13,1.0,10.0,HOU 30,16.0,21.0,James Conner up the middle for -3 yards (tackle by Will Anderson),3.58,2.63,11.0,2023,158
4.0,13:35,2.0,13.0,HOU 33,16.0,21.0,"Kyler Murray pass complete to Elijah Higgins for 20 yards (tackle by Steven Nelson) HOU challenged the pass completion ruling, and the original play was overturned. Kyler Murray pass incomplete short middle intended for Elijah Higgins",2.63,1.95,11.0,2023,158
4.0,13:35,3.0,13.0,HOU 33,16.0,21.0,Tony Jones left guard for 10 yards (tackle by Jalen Pitre),1.95,2.03,11.0,2023,158
4.0,12:55,4.0,3.0,HOU 23,16.0,21.0,Kyler Murray pass complete short right to Greg Dortch for 2 yards (tackle by Tavierre Thomas and Derek Stingley),2.03,-0.41,11.0,2023,158
4.0,12:48,1.0,10.0,HOU 22,16.0,21.0,Devin Singletary up the middle for 2 yards (tackle by Phil Hoskins and Roy Lopez),0.41,0.14,11.0,2023,158
4.0,12:14,2.0,8.0,HOU 24,16.0,21.0,C.J. Stroud pass complete short right to Nico Collins for 7 yards (tackle by Josh Woods and Antonio Hamilton),0.14,0.37,11.0,2023,158
4.0,11:38,3.0,1.0,HOU 31,16.0,21.0,Andrew Beck right guard for no gain (tackle by Victor Dimukeje),0.37,-1.31,11.0,2023,158
4.0,10:48,4.0,1.0,HOU 31,16.0,21.0,"Cameron Johnston punts 50 yards, recovered by Ka'dar Hollman at ARI-25 Replay Assistant challenged the fumble ruling, and the play was upheld.",-1.31,3.91,11.0,2023,158
4.0,10:37,1.0,10.0,ARI 25,16.0,21.0,Devin Singletary up the middle for 1 yard (tackle by Josh Woods),3.91,3.5,11.0,2023,158
4.0,10:12,2.0,9.0,ARI 24,16.0,21.0,C.J. Stroud pass complete short right to Tank Dell for 11 yards (tackle by Antonio Hamilton),3.5,4.71,11.0,2023,158
4.0,9:44,1.0,10.0,ARI 13,16.0,21.0,C.J. Stroud pass incomplete short left intended for Nico Collins,4.71,4.05,11.0,2023,158
4.0,9:42,2.0,10.0,ARI 13,16.0,21.0,C.J. Stroud pass short middle (defended by Antonio Hamilton) intended for Robert Woods is intercepted by Krys Barnes at ARI-3 and returned for 46 yards (tackle by George Fant),4.05,-2.19,11.0,2023,158
4.0,9:30,1.0,10.0,ARI 49,16.0,21.0,Kyler Murray scrambles right end for 6 yards (tackle by Blake Cashman),2.19,2.46,11.0,2023,158
4.0,8:49,2.0,4.0,HOU 45,16.0,21.0,James Conner left guard for -1 yards (tackle by Khalil Davis),2.46,1.62,11.0,2023,158
4.0,8:12,3.0,5.0,HOU 46,16.0,21.0,"Kyler Murray pass incomplete intended for Marquise Brown. Penalty on Marquise Brown: Offensive Pass Interference, 10 yards (accepted) (no play)",1.62,0.3,11.0,2023,158
4.0,8:05,3.0,15.0,ARI 44,16.0,21.0,Kyler Murray pass complete short left to Tony Jones for 11 yards (tackle by Blake Cashman),0.3,0.27,11.0,2023,158
4.0,7:22,4.0,4.0,HOU 45,16.0,21.0,Kyler Murray pass incomplete short middle intended for Trey McBride,0.27,-1.93,11.0,2023,158
4.0,7:18,1.0,10.0,HOU 45,16.0,21.0,Devin Singletary right tackle for 2 yards (tackle by Dante Stills and Cameron Thomas),1.93,1.65,11.0,2023,158
4.0,6:45,2.0,8.0,HOU 47,16.0,21.0,C.J. Stroud pass complete short left to Robert Woods for 5 yards (tackle by Garrett Williams),1.65,1.62,11.0,2023,158
4.0,6:16,3.0,3.0,ARI 48,16.0,21.0,C.J. Stroud pass complete deep left to Nico Collins for 23 yards (tackle by Jalen Thompson and Marco Wilson),1.62,3.91,11.0,2023,158
4.0,5:39,1.0,10.0,ARI 25,16.0,21.0,Tank Dell sacked by BJ Ojulari for -1 yards,3.91,3.3,11.0,2023,158
4.0,5:04,2.0,10.0,ARI 26,16.0,21.0,C.J. Stroud pass short left intended for Tank Dell is intercepted by Antonio Hamilton at ARI-19 and returned for no gain,3.3,-0.15,11.0,2023,158
4.0,4:58,1.0,10.0,ARI 19,16.0,21.0,Kyler Murray left end for 3 yards (tackle by Jerry Hughes),0.15,0.07,11.0,2023,158
4.0,4:23,2.0,7.0,ARI 22,16.0,21.0,Kyler Murray pass incomplete deep middle intended for Greg Dortch (defended by Derek Stingley),0.07,-0.68,11.0,2023,158
4.0,4:18,3.0,7.0,ARI 22,16.0,21.0,"Penalty on ARI: Delay of Game, 5 yards (accepted) (no play)",-0.68,-1.42,11.0,2023,158
4.0,4:18,3.0,12.0,ARI 17,16.0,21.0,Kyler Murray pass complete short left to Marquise Brown for 13 yards (tackle by Steven Nelson),-1.42,0.94,11.0,2023,158
4.0,3:34,1.0,10.0,ARI 30,16.0,21.0,Kyler Murray pass complete short right to Greg Dortch for 31 yards (tackle by Blake Cashman and DeAndre Houston-Carson),0.94,2.98,11.0,2023,158
4.0,2:47,1.0,10.0,HOU 39,16.0,21.0,Kyler Murray pass complete short middle to Greg Dortch for 4 yards (tackle by Blake Cashman),2.98,2.98,11.0,2023,158
4.0,2:09,2.0,6.0,HOU 35,16.0,21.0,Kyler Murray pass complete short right to James Conner for 6 yards (tackle by Christian Harris),2.98,3.64,11.0,2023,158
4.0,2:00,1.0,10.0,HOU 29,16.0,21.0,Kyler Murray pass complete short right to James Conner for -5 yards (tackle by Christian Harris),3.64,2.36,11.0,2023,158
4.0,1:25,2.0,16.0,HOU 34,16.0,21.0,Kyler Murray pass complete short middle to Geoff Swaim for 7 yards (tackle by Blake Cashman and DeAndre Houston-Carson),2.36,2.68,11.0,2023,158
4.0,0:41,3.0,8.0,HOU 27,16.0,21.0,Kyler Murray pass incomplete short right intended for Marquise Brown (defended by Christian Harris),2.68,1.67,11.0,2023,158
4.0,0:35,,,,,,Timeout #2 by Arizona Cardinals,,,11.0,2023,158
4.0,0:35,4.0,8.0,HOU 27,16.0,21.0,Kyler Murray pass incomplete deep left intended for Marquise Brown (defended by Steven Nelson),1.67,-0.74,11.0,2023,158
4.0,0:30,1.0,10.0,HOU 27,16.0,21.0,C.J. Stroud kneels for -1 yards,0.74,0.06,11.0,2023,158
