Quarter,Time,Down,ToGo,Location,NWE,DAL,Detail,EPB,EPA,week,year,game_id
3.0,4:25,2.0,7.0,NWE 26,3.0,31.0,Tony Pollard up the middle for 4 yards (tackle by Josh Uche),3.51,3.34,4.0,2023,62
3.0,3:49,3.0,3.0,NWE 22,3.0,31.0,"Dak Prescott pass incomplete short right intended for Michael Gallup. Penalty on Terence Steele: Illegal Use of Hands / Offense, 5 yards (declined)",3.34,2.09,4.0,2023,62
3.0,3:46,4.0,3.0,NWE 22,3.0,31.0,Dak Prescott sacked by Deatrich Wise for -9 yards,2.09,-1.0,4.0,2023,62
3.0,3:41,1.0,10.0,NWE 31,3.0,31.0,Rhamondre Stevenson up the middle for -2 yards (tackle by Neville Gallimore and Osa Odighizuwa),1.0,0.19,4.0,2023,62
3.0,3:06,2.0,12.0,NWE 29,3.0,31.0,Bailey Zappe pass complete short middle to DeVante Parker for 11 yards (tackle by DaRon Bland),0.19,0.96,4.0,2023,62
3.0,2:29,3.0,1.0,NWE 40,3.0,31.0,Rhamondre Stevenson up the middle for 3 yards (tackle by Jourdan Lewis),0.96,1.8,4.0,2023,62
3.0,1:54,1.0,10.0,NWE 43,3.0,31.0,Rhamondre Stevenson right tackle for no gain (tackle by Juanyeh Thomas),1.8,1.25,4.0,2023,62
3.0,1:04,2.0,10.0,NWE 43,3.0,31.0,"Bailey Zappe pass incomplete deep right intended for Mike Gesicki (defended by Jayron Kearse). Penalty on Atonio Mafi: Illegal Blindside Block, 15 yards (declined)",1.25,0.56,4.0,2023,62
3.0,1:04,3.0,10.0,NWE 43,3.0,31.0,Bailey Zappe pass incomplete deep left intended for JuJu Smith-Schuster,0.56,-0.52,4.0,2023,62
3.0,0:58,4.0,10.0,NWE 43,3.0,31.0,"Bryce Baringer punts 43 yards, fair catch by KaVontae Turpin at DAL-14",-0.52,0.28,4.0,2023,62
3.0,0:50,1.0,10.0,DAL 14,3.0,31.0,"Deuce Vaughn left tackle for 1 yard (tackle by Jabrill Peppers). Penalty on Tyler Smith: Offensive Holding, 7 yards (accepted)",-0.28,-0.61,4.0,2023,62
3.0,0:23,1.0,16.0,DAL 8,3.0,31.0,Deuce Vaughn up the middle for 3 yards (tackle by Ja'Whaun Bentley and Sam Roberts),-0.61,-1.0,4.0,2023,62
4.0,15:00,2.0,13.0,DAL 11,3.0,31.0,Dak Prescott pass complete short right to Jalen Tolbert for 15 yards (tackle by Myles Bryant),-1.0,0.67,4.0,2023,62
4.0,14:24,1.0,10.0,DAL 26,3.0,31.0,Deuce Vaughn right end for -1 yards (tackle by Jabrill Peppers),0.67,-0.01,4.0,2023,62
4.0,13:44,2.0,11.0,DAL 25,3.0,31.0,Deuce Vaughn left end for -1 yards (tackle by Ja'Whaun Bentley and Jalen Mills),-0.01,-0.82,4.0,2023,62
4.0,13:17,3.0,12.0,DAL 24,3.0,31.0,Dak Prescott pass complete short right to Brandin Cooks for 4 yards (tackle by Jabrill Peppers),-0.82,-1.5,4.0,2023,62
4.0,12:37,4.0,8.0,DAL 28,3.0,31.0,"Bryan Anger punts 57 yards, fair catch by Demario Douglas at NE-15",-1.5,0.22,4.0,2023,62
4.0,12:30,1.0,10.0,NWE 15,3.0,31.0,Bailey Zappe pass complete short right to Hunter Henry for 4 yards (tackle by Leighton Vander Esch),-0.22,-0.11,4.0,2023,62
4.0,11:50,2.0,6.0,NWE 19,3.0,31.0,Ezekiel Elliott right guard for 2 yards (tackle by Micah Parsons and Donovan Wilson),-0.11,-0.63,4.0,2023,62
4.0,11:11,3.0,4.0,NWE 21,3.0,31.0,"Bailey Zappe pass incomplete short right intended for Demario Douglas. Penalty on David Andrews: Offensive Holding, 10 yards (declined)",-0.63,-1.96,4.0,2023,62
4.0,11:06,4.0,4.0,NWE 21,3.0,31.0,"Bryce Baringer punts 42 yards, fair catch by KaVontae Turpin at DAL-37",-1.96,-1.4,4.0,2023,62
4.0,10:59,1.0,10.0,DAL 37,3.0,31.0,"Penalty on Jake Ferguson: False Start, 5 yards (accepted) (no play)",1.4,1.07,4.0,2023,62
4.0,10:59,1.0,15.0,DAL 32,3.0,31.0,"KaVontae Turpin right end for 46 yards. KaVontae Turpin fumbles (forced by Myles Bryant), recovered by Sean McKeon at NE-14 (tackle by Myles Bryant)",1.07,4.65,4.0,2023,62
4.0,10:01,1.0,10.0,NWE 14,3.0,31.0,Deuce Vaughn left guard for 3 yards (tackle by Jahlani Tavai),4.65,4.52,4.0,2023,62
4.0,9:23,2.0,7.0,NWE 11,3.0,31.0,Deuce Vaughn right tackle for 2 yards (tackle by Keion White),4.52,4.05,4.0,2023,62
4.0,8:43,3.0,5.0,NWE 9,3.0,31.0,Dak Prescott pass complete short left to KaVontae Turpin for 5 yards (tackle by Shaun Wade),4.05,6.28,4.0,2023,62
4.0,8:09,1.0,4.0,NWE 4,3.0,31.0,Hunter Luepke up the middle for 1 yard (tackle by Kyle Dugger and Jabrill Peppers),6.28,5.53,4.0,2023,62
4.0,7:21,2.0,3.0,NWE 3,3.0,31.0,Deuce Vaughn up the middle for no gain (tackle by Jahlani Tavai and Jabrill Peppers),5.53,4.72,4.0,2023,62
4.0,6:41,3.0,3.0,NWE 3,3.0,37.0,"Hunter Luepke right guard for 3 yards, touchdown",4.72,7.0,4.0,2023,62
4.0,6:38,,,NWE 15,3.0,38.0,Brandon Aubrey kicks extra point good,0.0,0.0,4.0,2023,62
4.0,6:38,,,DAL 35,3.0,38.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,4.0,2023,62
4.0,6:38,1.0,10.0,NWE 25,3.0,38.0,Bailey Zappe pass complete short middle to Kendrick Bourne for 20 yards (tackle by DaRon Bland),0.61,1.93,4.0,2023,62
4.0,6:12,1.0,10.0,NWE 45,3.0,38.0,Bailey Zappe pass incomplete short right intended for JuJu Smith-Schuster,1.93,1.38,4.0,2023,62
4.0,6:07,2.0,10.0,NWE 45,3.0,38.0,Bailey Zappe pass complete deep left to DeVante Parker for 22 yards,1.38,3.38,4.0,2023,62
4.0,5:41,1.0,10.0,DAL 33,3.0,38.0,Rhamondre Stevenson left end for 7 yards (tackle by Stephon Gilmore),3.38,3.78,4.0,2023,62
4.0,4:59,2.0,3.0,DAL 26,3.0,38.0,Bailey Zappe sacked by Sam Williams for -7 yards,3.78,2.15,4.0,2023,62
4.0,4:16,3.0,10.0,DAL 33,3.0,38.0,Bailey Zappe pass incomplete short right,2.15,1.06,4.0,2023,62
4.0,4:08,4.0,11.0,DAL 34,3.0,38.0,Chad Ryland 52 yard field goal no good,1.06,-1.73,4.0,2023,62
4.0,4:03,1.0,10.0,DAL 42,3.0,38.0,"Deuce Vaughn for no gain. Penalty on Brock Hoffman: Offensive Holding, 10 yards (accepted) (no play)",1.73,1.07,4.0,2023,62
4.0,3:58,1.0,20.0,DAL 32,3.0,38.0,Cooper Rush pass complete short middle to Jalen Tolbert for 13 yards (tackle by Marte Mapu),1.07,1.59,4.0,2023,62
4.0,3:13,2.0,7.0,DAL 45,3.0,38.0,Deuce Vaughn right tackle for 2 yards (tackle by Lawrence Guy),1.59,1.16,4.0,2023,62
4.0,2:27,,,,,,Timeout #2 by Dallas Cowboys,,,4.0,2023,62
4.0,2:27,3.0,5.0,DAL 47,3.0,38.0,Cooper Rush pass complete short right to Jalen Tolbert for 7 yards (tackle by Myles Bryant),1.16,2.52,4.0,2023,62
4.0,2:00,1.0,10.0,NWE 46,3.0,38.0,Cooper Rush kneels for no gain,2.52,1.98,4.0,2023,62
4.0,1:20,2.0,10.0,NWE 46,3.0,38.0,Cooper Rush kneels for -1 yards,1.98,1.16,4.0,2023,62
4.0,0:42,3.0,11.0,NWE 47,3.0,38.0,Cooper Rush kneels for -1 yards,1.16,0.07,4.0,2023,62
