Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA,week,year,game_id
4.0,6:26,1.0,10.0,MIN 2,21.0,35.0,"Penalty on Eddie Goldman: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.38,-0.19,14.0,2024,197
4.0,6:26,1.0,5.0,MIN 7,21.0,35.0,Cam Akers left tackle for 4 yards (tackle by Eddie Goldman),-0.19,-0.12,14.0,2024,197
4.0,5:46,2.0,1.0,MIN 11,21.0,35.0,"Penalty on Johnny Mundt: False Start, 5 yards (accepted) (no play)",-0.12,-0.49,14.0,2024,197
4.0,5:46,2.0,6.0,MIN 6,21.0,35.0,Cam Akers up the middle for 25 yards (tackle by Justin Simmons and Clark Phillips),-0.49,1.0,14.0,2024,197
4.0,5:00,1.0,10.0,MIN 31,21.0,35.0,Cam Akers left end for 11 yards (tackle by Jessie Bates and Kaden Elliss),1.0,1.73,14.0,2024,197
4.0,4:16,1.0,10.0,MIN 42,21.0,35.0,"Cam Akers left end for no gain (tackle by Lorenzo Carter). Penalty on Lorenzo Carter: Face Mask (15 Yards), 15 yards (accepted) (no play)",1.73,2.72,14.0,2024,197
4.0,4:06,1.0,10.0,ATL 43,21.0,35.0,Sam Darnold pass complete short right to Josh Oliver for 26 yards (tackle by Kaden Elliss),2.72,4.44,14.0,2024,197
4.0,3:53,,,,,,Timeout #2 by Minnesota Vikings,,,14.0,2024,197
4.0,3:53,1.0,10.0,ATL 17,21.0,35.0,Aaron Jones right tackle for 2 yards (tackle by David Onyemata and Nathan Landman),4.44,4.15,14.0,2024,197
4.0,3:49,,,,,,Timeout #1 by Atlanta Falcons,,,14.0,2024,197
4.0,3:49,2.0,8.0,ATL 15,21.0,35.0,Aaron Jones left end for no gain (tackle by Clark Phillips),4.15,3.34,14.0,2024,197
4.0,3:43,,,,,,Timeout #2 by Atlanta Falcons,,,14.0,2024,197
4.0,3:43,3.0,8.0,ATL 15,21.0,41.0,"Aaron Jones right guard for 15 yards, touchdown",3.34,7.0,14.0,2024,197
4.0,3:38,,,ATL 15,21.0,42.0,Will Reichard kicks extra point good,0.0,0.0,14.0,2024,197
4.0,3:38,,,MIN 35,21.0,42.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,14.0,2024,197
4.0,3:38,1.0,10.0,ATL 30,21.0,42.0,Bijan Robinson up the middle for 1 yard (tackle by Jihad Ward),0.94,0.53,14.0,2024,197
4.0,3:15,2.0,9.0,ATL 31,21.0,42.0,Kirk Cousins pass complete short left to Darnell Mooney for 14 yards (tackle by Brian Asamoah),0.53,1.93,14.0,2024,197
4.0,3:07,1.0,10.0,ATL 45,21.0,42.0,Bijan Robinson right guard for 6 yards (tackle by Jerry Tillery),1.93,2.19,14.0,2024,197
4.0,2:44,2.0,4.0,MIN 49,21.0,42.0,Kirk Cousins pass complete short right to Drake London for 14 yards (tackle by Theo Jackson),2.19,3.25,14.0,2024,197
4.0,2:38,1.0,10.0,MIN 35,21.0,42.0,"Penalty on Kyle Pitts: False Start, 5 yards (accepted) (no play)",3.25,2.92,14.0,2024,197
