Quarter,Time,Down,ToGo,Location,JAX,KAN,Detail,EPB,EPA,week,year,game_id
3.0,9:46,2.0,1.0,KAN 23,7.0,20.0,Travis Etienne right end for 3 yards (tackle by Michael Danna and L'Jarius Sneed),4.12,4.24,10.0,2022,144
3.0,9:09,1.0,10.0,KAN 20,7.0,20.0,Trevor Lawrence pass complete short right to Travis Etienne for 1 yard (tackle by Joshua Williams),4.24,3.82,10.0,2022,144
3.0,8:28,2.0,9.0,KAN 19,7.0,20.0,Jamycal Hasty right end for 4 yards (tackle by Joshua Williams),3.82,3.7,10.0,2022,144
3.0,7:54,3.0,5.0,KAN 15,7.0,20.0,Trevor Lawrence pass complete short right to Christian Kirk for 7 yards (tackle by Justin Reid),3.7,5.37,10.0,2022,144
3.0,7:17,1.0,8.0,KAN 8,7.0,20.0,Travis Etienne up the middle for 4 yards (tackle by Willie Gay),5.37,5.34,10.0,2022,144
3.0,6:38,2.0,4.0,KAN 4,7.0,20.0,"Trevor Lawrence pass complete to Evan Engram for no gain, touchdown. Penalty on Cam Robinson: Ineligible Downfield Pass, 5 yards (accepted) (no play)",5.34,4.38,10.0,2022,144
3.0,6:33,2.0,9.0,KAN 9,7.0,20.0,Trevor Lawrence pass incomplete short left,4.38,3.36,10.0,2022,144
3.0,6:27,3.0,9.0,KAN 9,7.0,20.0,Trevor Lawrence sacked by Chris Jones for -8 yards,3.36,2.25,10.0,2022,144
3.0,5:50,4.0,18.0,KAN 18,10.0,20.0,Riley Patterson 35 yard field goal good,2.25,3.0,10.0,2022,144
3.0,5:46,,,JAX 35,10.0,20.0,"Riley Patterson kicks off 65 yards, touchback.",0.0,0.61,10.0,2022,144
3.0,5:46,1.0,10.0,KAN 25,10.0,20.0,Isiah Pacheco up the middle for 2 yards (tackle by Rayshawn Jenkins),0.61,0.33,10.0,2022,144
3.0,5:11,2.0,8.0,KAN 27,10.0,20.0,Patrick Mahomes pass complete short right to Kadarius Toney for 6 yards (tackle by Montaric Brown),0.33,0.43,10.0,2022,144
3.0,4:31,3.0,2.0,KAN 33,10.0,20.0,Patrick Mahomes pass complete short left to Jerick McKinnon for 19 yards (tackle by Devin Lloyd),0.43,2.39,10.0,2022,144
3.0,3:50,1.0,10.0,JAX 48,10.0,20.0,Patrick Mahomes pass incomplete short left intended for Jerick McKinnon,2.39,1.85,10.0,2022,144
3.0,3:43,2.0,10.0,JAX 48,10.0,20.0,Isiah Pacheco up the middle for 4 yards (tackle by Travon Walker),1.85,1.69,10.0,2022,144
3.0,3:08,3.0,6.0,JAX 44,10.0,20.0,Patrick Mahomes pass complete short left to Travis Kelce for 10 yards (tackle by Foyesade Oluokun),1.69,3.31,10.0,2022,144
3.0,2:27,1.0,10.0,JAX 34,10.0,20.0,Patrick Mahomes pass complete short right to Jerick McKinnon for 8 yards (tackle by Montaric Brown),3.31,3.85,10.0,2022,144
