Quarter,Time,Down,ToGo,Location,SEA,TEN,Detail,EPB,EPA,week,year,game_id
4.0,12:15,2.0,9.0,TEN 11,12.0,10.0,"Geno Smith pass incomplete intended for D.K. Metcalf SEA challenged the pass completion ruling, and the original play was overturned. Geno Smith pass complete short left to D.K. Metcalf for 11 yards, touchdown",4.27,7.0,16.0,2023,233
4.0,12:10,,,TEN 15,13.0,10.0,Jason Myers kicks extra point good,0.0,0.0,16.0,2023,233
4.0,12:10,,,SEA 35,13.0,10.0,"Jason Myers kicks off 64 yards,",0.0,0.61,16.0,2023,233
4.0,12:10,1.0,10.0,TEN 25,13.0,10.0,Ryan Tannehill sacked by Bobby Wagner for -6 yards,0.61,-0.81,16.0,2023,233
4.0,11:26,2.0,16.0,TEN 19,13.0,10.0,Ryan Tannehill pass complete short right to Tyjae Spears for 13 yards (tackle by Julian Love),-0.81,0.3,16.0,2023,233
4.0,10:42,3.0,3.0,TEN 32,13.0,10.0,Ryan Tannehill pass complete short right to Tyjae Spears for 4 yards (tackle by Coby Bryant),0.3,1.33,16.0,2023,233
4.0,10:03,1.0,10.0,TEN 36,13.0,10.0,Derrick Henry up the middle for 4 yards (tackle by Artie Burns),1.33,1.33,16.0,2023,233
4.0,9:18,2.0,6.0,TEN 40,13.0,10.0,"Ryan Tannehill pass incomplete intended for Treylon Burks TEN challenged the pass completion ruling, and the original play was overturned. Ryan Tannehill pass complete short right to Treylon Burks for 13 yards (tackle by Boye Mafe)",1.33,2.46,16.0,2023,233
4.0,9:06,1.0,10.0,SEA 47,13.0,10.0,Ryan Tannehill pass complete short left to Derrick Henry for 11 yards (tackle by Bobby Wagner),2.46,3.18,16.0,2023,233
4.0,8:22,1.0,10.0,SEA 36,13.0,10.0,Derrick Henry left guard for 9 yards (tackle by Bobby Wagner),3.18,3.85,16.0,2023,233
4.0,7:37,2.0,1.0,SEA 27,13.0,10.0,Derrick Henry right end for -3 yards (tackle by Bobby Wagner),3.85,2.74,16.0,2023,233
4.0,6:56,3.0,4.0,SEA 30,13.0,10.0,Tyjae Spears up the middle for 3 yards (tackle by Quandre Diggs),2.74,1.82,16.0,2023,233
4.0,6:26,4.0,1.0,SEA 27,13.0,10.0,Tyjae Spears up the middle for 2 yards (tackle by Dre'Mont Jones and Bobby Wagner),1.82,3.91,16.0,2023,233
4.0,5:39,1.0,10.0,SEA 25,13.0,10.0,Tyjae Spears right end for -2 yards (tackle by Derick Hall),3.91,3.09,16.0,2023,233
4.0,5:00,2.0,12.0,SEA 27,13.0,10.0,"Penalty on Andre Dillard: False Start, 5 yards (accepted) (no play)",3.09,2.42,16.0,2023,233
4.0,5:00,2.0,17.0,SEA 32,13.0,10.0,Ryan Tannehill pass complete short right to Tyjae Spears for 6 yards (tackle by Derick Hall and Bobby Wagner),2.42,2.54,16.0,2023,233
4.0,4:18,3.0,11.0,SEA 26,13.0,10.0,"Ryan Tannehill pass incomplete intended for DeAndre Hopkins. Penalty on Tre Brown: Defensive Pass Interference, 15 yards (accepted) (no play)",2.54,4.84,16.0,2023,233
4.0,4:13,1.0,10.0,SEA 11,13.0,10.0,Derrick Henry left end for 6 yards (tackle by Devin Bush and Quandre Diggs),4.84,5.28,16.0,2023,233
4.0,3:31,2.0,4.0,SEA 5,13.0,10.0,Derrick Henry left guard for no gain (tackle by Dre'Mont Jones),5.28,4.44,16.0,2023,233
4.0,3:25,3.0,4.0,SEA 5,13.0,10.0,"Penalty on Artie Burns: Unnecessary Roughness / Defense, 3 yards (accepted) (no play)",4.44,6.74,16.0,2023,233
4.0,3:25,1.0,2.0,SEA 2,13.0,16.0,"Derrick Henry up the middle for 2 yards, touchdown",6.74,7.0,16.0,2023,233
4.0,3:21,,,SEA 15,13.0,17.0,Nick Folk kicks extra point good,0.0,0.0,16.0,2023,233
4.0,3:21,,,TEN 35,13.0,17.0,"Ty Zentner kicks off 65 yards, touchback.",0.0,0.61,16.0,2023,233
4.0,3:21,1.0,10.0,SEA 25,13.0,17.0,Geno Smith pass complete short left to Jaxon Smith-Njigba for 4 yards (tackle by Tre Avery),0.61,0.6,16.0,2023,233
4.0,2:57,2.0,6.0,SEA 29,13.0,17.0,Geno Smith pass incomplete short left intended for D.K. Metcalf,0.6,-0.1,16.0,2023,233
4.0,2:53,3.0,6.0,SEA 29,13.0,17.0,Geno Smith pass complete short left to Tyler Lockett for 7 yards,-0.1,1.33,16.0,2023,233
4.0,2:49,1.0,10.0,SEA 36,13.0,17.0,Kenneth Walker up the middle for 2 yards (tackle by Harold Landry and Denico Autry),1.33,1.06,16.0,2023,233
4.0,2:28,2.0,8.0,SEA 38,13.0,17.0,Geno Smith sacked by Harold Landry for -6 yards,1.06,-0.43,16.0,2023,233
4.0,2:00,3.0,14.0,SEA 32,13.0,17.0,"Geno Smith pass complete short middle to Jaxon Smith-Njigba for 18 yards (tackle by Mike Brown). Penalty on Tre Avery: Defensive Holding, 5 yards (declined)",-0.43,2.26,16.0,2023,233
4.0,1:53,1.0,10.0,SEA 50,13.0,17.0,Geno Smith pass incomplete short left intended for Tyler Lockett,2.26,1.71,16.0,2023,233
4.0,1:49,2.0,10.0,SEA 50,13.0,17.0,"Geno Smith pass complete short left to Tyler Lockett for 12 yards Replay Assistant challenged the pass completion ruling, and the play was upheld.",1.71,3.05,16.0,2023,233
4.0,1:43,1.0,10.0,TEN 38,13.0,17.0,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 3 yards (tackle by Azeez Al-Shaair),3.05,2.91,16.0,2023,233
4.0,1:24,2.0,7.0,TEN 35,13.0,17.0,Geno Smith pass complete short right to Tyler Lockett for 8 yards,2.91,3.78,16.0,2023,233
4.0,1:19,1.0,10.0,TEN 27,13.0,17.0,Geno Smith pass incomplete short left intended for Jake Bobo,3.78,3.23,16.0,2023,233
4.0,1:14,2.0,10.0,TEN 27,13.0,17.0,"Geno Smith pass incomplete intended for D.K. Metcalf. Penalty on Tre Avery: Defensive Pass Interference, 22 yards (accepted) (no play)",3.23,6.06,16.0,2023,233
4.0,1:09,1.0,5.0,TEN 5,13.0,17.0,Zach Charbonnet up the middle for 3 yards (tackle by Jaleel Johnson and Elijah Molden),6.06,5.72,16.0,2023,233
4.0,1:04,,,,,,Timeout #1 by Tennessee Titans,,,16.0,2023,233
4.0,1:04,2.0,2.0,TEN 2,13.0,17.0,Zach Charbonnet up the middle for -3 yards (tackle by Marlon Davidson),5.72,4.26,16.0,2023,233
4.0,1:00,,,,,,Timeout #2 by Tennessee Titans,,,16.0,2023,233
4.0,1:00,3.0,5.0,TEN 5,19.0,17.0,"Geno Smith pass complete short left to Colby Parkinson for 5 yards, touchdown",4.26,7.0,16.0,2023,233
4.0,0:57,,,TEN 15,20.0,17.0,Jason Myers kicks extra point good,0.0,0.0,16.0,2023,233
4.0,0:57,,,SEA 35,20.0,17.0,"Jason Myers kicks off 64 yards,",0.0,0.61,16.0,2023,233
4.0,0:57,1.0,10.0,TEN 25,20.0,17.0,Ryan Tannehill sacked by Boye Mafe for -4 yards,0.61,-0.48,16.0,2023,233
4.0,0:50,,,,,,Timeout #3 by Tennessee Titans,,,16.0,2023,233
4.0,0:50,2.0,14.0,TEN 21,20.0,17.0,Ryan Tannehill pass complete short middle to Chigoziem Okonkwo for 17 yards (tackle by Artie Burns and Bobby Wagner),-0.48,1.47,16.0,2023,233
4.0,0:36,1.0,10.0,TEN 38,20.0,17.0,Ryan Tannehill spiked the ball,1.47,0.92,16.0,2023,233
4.0,0:35,2.0,10.0,TEN 38,20.0,17.0,Ryan Tannehill pass complete short middle to Treylon Burks for 12 yards (tackle by Riq Woolen),0.92,2.26,16.0,2023,233
4.0,0:29,1.0,10.0,TEN 50,20.0,17.0,Ryan Tannehill sacked by Dre'Mont Jones for -10 yards,2.26,0.36,16.0,2023,233
