Quarter,Time,Down,ToGo,Location,PHI,LAR,Detail,EPB,EPA,week,year,game_id
3.0,3:05,2.0,1.0,PHI 12,27.0,14.0,Kyren Williams up the middle for -2 yards (tackle by C.J. Gardner-Johnson and Quinyon Mitchell),5.16,4.02,12.0,2024,178
3.0,2:26,3.0,3.0,PHI 14,27.0,14.0,"Matthew Stafford pass incomplete short left intended for Puka Nacua (defended by Zack Baun). Penalty on Beaux Limmer: Offensive Holding, 10 yards (accepted) (no play)",4.02,2.54,12.0,2024,178
3.0,2:20,3.0,13.0,PHI 24,27.0,14.0,Matthew Stafford sacked by Milton Williams for -5 yards,2.54,1.5,12.0,2024,178
3.0,1:38,4.0,18.0,PHI 29,27.0,14.0,Joshua Karty 47 yard field goal no good,1.5,-1.4,12.0,2024,178
3.0,1:32,1.0,10.0,PHI 37,27.0,14.0,Saquon Barkley left end for 5 yards (tackle by Christian Rozeboom and Kamren Curl),1.4,1.53,12.0,2024,178
3.0,0:54,2.0,5.0,PHI 42,27.0,14.0,Saquon Barkley left end for no gain (tackle by Jared Verse and Braden Fiske),1.53,0.83,12.0,2024,178
3.0,0:12,3.0,5.0,PHI 42,27.0,14.0,Jalen Hurts pass complete short middle to A.J. Brown for 28 yards (tackle by Kamren Curl),0.83,3.58,12.0,2024,178
4.0,15:00,1.0,10.0,LAR 30,27.0,14.0,Saquon Barkley right tackle for 2 yards (tackle by Byron Young and Tyler Davis),3.58,3.3,12.0,2024,178
4.0,14:20,2.0,8.0,LAR 28,27.0,14.0,Jalen Hurts pass complete short right to Dallas Goedert for 7 yards (tackle by Kamren Kinchens and Omar Speights),3.3,3.53,12.0,2024,178
4.0,13:38,3.0,1.0,LAR 21,27.0,14.0,Saquon Barkley up the middle for 2 yards (tackle by Christian Rozeboom),3.53,4.31,12.0,2024,178
4.0,12:57,1.0,10.0,LAR 19,27.0,14.0,Saquon Barkley right end for 9 yards (tackle by Quentin Lake),4.31,5.36,12.0,2024,178
4.0,12:16,2.0,1.0,LAR 10,27.0,14.0,Saquon Barkley up the middle for 3 yards (tackle by Christian Rozeboom and Kamren Curl),5.36,5.6,12.0,2024,178
4.0,11:30,,,,,,Timeout #1 by Philadelphia Eagles,,,12.0,2024,178
4.0,11:30,1.0,7.0,LAR 7,27.0,14.0,Jalen Hurts left guard for -1 yards (tackle by Christian Rozeboom),5.6,4.57,12.0,2024,178
4.0,10:49,2.0,8.0,LAR 8,27.0,14.0,Jalen Hurts pass incomplete short left,4.57,3.58,12.0,2024,178
4.0,10:42,3.0,8.0,LAR 8,27.0,14.0,"Jalen Hurts pass incomplete short right intended for A.J. Brown. Penalty on Quentin Lake: Defensive Pass Interference, 15 yards (offset) . Penalty on Landon Dickerson: Unnecessary Roughness / Offense, 15 yards (offset) (no play)",3.58,3.58,12.0,2024,178
4.0,10:37,3.0,8.0,LAR 8,27.0,14.0,Jalen Hurts pass incomplete short left intended for Johnny Wilson (defended by Ahkello Witherspoon),3.58,2.95,12.0,2024,178
4.0,10:33,4.0,8.0,LAR 8,30.0,14.0,Jake Elliott 26 yard field goal good,2.95,3.0,12.0,2024,178
4.0,10:30,,,PHI 35,30.0,14.0,"Braden Mann kicks off 63 yards, returned by Xavier Smith for 30 yards (tackle by Sydney Brown)",0.0,1.07,12.0,2024,178
4.0,10:24,1.0,10.0,LAR 32,30.0,14.0,Matthew Stafford pass complete short left to Puka Nacua for 11 yards (tackle by Cooper DeJean),1.07,1.8,12.0,2024,178
4.0,9:48,1.0,10.0,LAR 43,30.0,14.0,Matthew Stafford pass incomplete deep right intended for Puka Nacua (defended by Cooper DeJean),1.8,1.25,12.0,2024,178
4.0,9:44,2.0,10.0,LAR 43,30.0,14.0,Matthew Stafford pass complete short left to Tyler Johnson for 11 yards (tackle by Quinyon Mitchell),1.25,2.52,12.0,2024,178
4.0,9:07,1.0,10.0,PHI 46,30.0,14.0,Kyren Williams left tackle for -1 yards (tackle by Nakobe Dean and Moro Ojomo),2.52,1.84,12.0,2024,178
4.0,8:27,2.0,11.0,PHI 47,30.0,14.0,Matthew Stafford pass incomplete short right intended for Puka Nacua (defended by Quinyon Mitchell),1.84,1.16,12.0,2024,178
4.0,8:23,3.0,11.0,PHI 47,30.0,14.0,Matthew Stafford pass complete short right to Cooper Kupp for 8 yards (tackle by Reed Blankenship),1.16,0.66,12.0,2024,178
