Quarter,Time,Down,ToGo,Location,IND,NYJ,Detail,EPB,EPA,week,year,game_id
4.0,13:03,1.0,10.0,IND 30,16.0,24.0,Anthony Richardson pass incomplete short right,0.94,0.39,11.0,2024,160
4.0,12:56,2.0,10.0,IND 30,16.0,24.0,Anthony Richardson pass complete short middle to Michael Pittman for 20 yards (tackle by Jalen Mills),0.39,2.26,11.0,2024,160
4.0,12:35,1.0,10.0,IND 50,16.0,24.0,Anthony Richardson pass incomplete short middle intended for Mo Alie-Cox,2.26,1.71,11.0,2024,160
4.0,12:29,2.0,10.0,IND 50,16.0,24.0,Anthony Richardson pass complete short left to Michael Pittman for 8 yards (tackle by D.J. Reed),1.71,2.08,11.0,2024,160
4.0,11:56,3.0,2.0,NYJ 42,16.0,24.0,Anthony Richardson pass complete short right to Mo Alie-Cox for 12 yards (tackle by Chuck Clark),2.08,3.58,11.0,2024,160
4.0,11:27,1.0,10.0,NYJ 30,16.0,24.0,Anthony Richardson pass complete deep left to Alec Pierce for 19 yards (tackle by Sauce Gardner),3.58,4.84,11.0,2024,160
4.0,11:01,1.0,10.0,NYJ 11,16.0,24.0,Jonathan Taylor up the middle for 1 yard (tackle by Quinnen Williams),4.84,4.32,11.0,2024,160
4.0,10:16,2.0,9.0,NYJ 10,22.0,24.0,"Anthony Richardson pass complete short middle to Josh Downs for 10 yards, touchdown",4.32,7.0,11.0,2024,160
4.0,10:11,,,NYJ 2,22.0,24.0,Two Point Attempt: Anthony Richardson pass incomplete intended for intended for Mo Alie-Cox,1.0,-1.0,11.0,2024,160
4.0,10:11,,,IND 35,22.0,24.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.94,11.0,2024,160
4.0,10:11,1.0,10.0,NYJ 30,22.0,24.0,Breece Hall right tackle for 1 yard (tackle by Kwity Paye),0.94,0.53,11.0,2024,160
4.0,9:34,2.0,9.0,NYJ 31,22.0,24.0,Aaron Rodgers pass complete short left to Breece Hall for -5 yards (tackle by Laiatu Latu),0.53,-0.82,11.0,2024,160
