Quarter,Time,Down,ToGo,Location,PHI,IND,Detail,EPB,EPA,week,year,game_id
4.0,1:29,,,,,,Timeout #2 by Indianapolis Colts,,,11.0,2022,158
4.0,1:29,2.0,4.0,IND 4,10.0,16.0,Jalen Hurts for -3 yards (tackle by Bobby Okereke and Julian Blackmon),5.34,3.81,11.0,2022,158
4.0,1:24,,,,,,Timeout #3 by Indianapolis Colts,,,11.0,2022,158
4.0,1:24,3.0,7.0,IND 7,16.0,16.0,"Jalen Hurts for 7 yards, touchdown",3.81,7.0,11.0,2022,158
4.0,1:20,,,IND 15,17.0,16.0,Jake Elliott kicks extra point good,0.0,0.0,11.0,2022,158
4.0,1:20,,,PHI 35,17.0,16.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,11.0,2022,158
4.0,1:20,1.0,10.0,IND 25,17.0,16.0,Matt Ryan pass incomplete deep right intended for Alec Pierce,0.61,0.06,11.0,2022,158
4.0,1:15,2.0,10.0,IND 25,17.0,16.0,Matt Ryan pass complete short middle to Parris Campbell for 14 yards (tackle by C.J. Gardner-Johnson),0.06,1.53,11.0,2022,158
4.0,0:57,1.0,10.0,IND 39,17.0,16.0,Matt Ryan pass complete short left to Deon Jackson for 1 yard (tackle by C.J. Gardner-Johnson),1.53,1.12,11.0,2022,158
4.0,0:53,2.0,9.0,IND 40,17.0,16.0,Matt Ryan pass incomplete short left intended for Alec Pierce,1.12,0.43,11.0,2022,158
