Quarter,Time,Down,ToGo,Location,ATL,LVR,Detail,EPB,EPA,week,year,game_id
4.0,2:33,2.0,9.0,LVR 48,15.0,9.0,Bijan Robinson right end for 3 yards (tackle by Decamerion Richardson and John Jenkins),1.92,1.62,15.0,2024,224
4.0,2:00,3.0,6.0,LVR 45,15.0,9.0,Kirk Cousins pass incomplete short middle intended for Ray-Ray McCloud (defended by Jonah Laulu),1.62,0.27,15.0,2024,224
4.0,1:56,4.0,6.0,LVR 45,15.0,9.0,"Bradley Pinion punts 45 yards, touchback.",0.27,-0.28,15.0,2024,224
4.0,1:50,1.0,10.0,LVR 20,15.0,9.0,Desmond Ridder pass complete short middle to Ameer Abdullah for 7 yards (tackle by JD Bertrand),0.28,0.68,15.0,2024,224
4.0,1:33,2.0,3.0,LVR 27,15.0,9.0,"Penalty on Jordan Meredith: False Start, 5 yards (accepted) (no play)",0.68,0.0,15.0,2024,224
4.0,1:21,2.0,8.0,LVR 22,15.0,9.0,Desmond Ridder pass complete short left to Tre Tucker for 10 yards (tackle by Mike Hughes),0.0,1.07,15.0,2024,224
4.0,1:16,1.0,10.0,LVR 32,15.0,9.0,"Desmond Ridder pass incomplete short right. Penalty on Delmar Glaze: Offensive Holding, 10 yards (accepted) (no play)",1.07,0.41,15.0,2024,224
4.0,1:10,1.0,20.0,LVR 22,15.0,9.0,Desmond Ridder pass complete short left to Jakobi Meyers for 11 yards (tackle by Kaden Elliss),0.41,0.66,15.0,2024,224
4.0,0:56,2.0,9.0,LVR 33,15.0,9.0,Desmond Ridder pass complete short middle to Ameer Abdullah for 6 yards (tackle by JD Bertrand),0.66,0.76,15.0,2024,224
4.0,0:40,3.0,3.0,LVR 39,15.0,9.0,Desmond Ridder pass incomplete short left intended for Jakobi Meyers (defended by Mike Hughes),0.76,-0.78,15.0,2024,224
4.0,0:35,4.0,3.0,LVR 39,15.0,9.0,"Penalty on Desmond Ridder: Delay of Game, 5 yards (accepted) (no play)",-0.78,-1.11,15.0,2024,224
4.0,0:35,4.0,8.0,LVR 34,15.0,9.0,Desmond Ridder pass complete short right to Ameer Abdullah for 9 yards (tackle by Mike Hughes),-1.11,1.8,15.0,2024,224
4.0,0:26,1.0,10.0,LVR 43,15.0,9.0,Desmond Ridder pass complete deep left to Jakobi Meyers for 22 yards (tackle by DeAundre Alford and AJ Terrell),1.8,3.25,15.0,2024,224
4.0,0:10,1.0,10.0,ATL 35,15.0,9.0,Desmond Ridder spiked the ball,3.25,2.7,15.0,2024,224
4.0,0:10,,,,,,Timeout #1 by Atlanta Falcons,,,15.0,2024,224
4.0,0:10,2.0,10.0,ATL 35,15.0,9.0,Desmond Ridder pass incomplete deep left (defended by Kevin King),2.7,2.01,15.0,2024,224
