Quarter,Time,Down,ToGo,Location,BAL,CIN,Detail,EPB,EPA,week,year,game_id
3.0,7:54,1.0,10.0,BAL 16,10.0,24.0,Joe Burrow pass complete short left to Joe Mixon for 2 yards (tackle by Patrick Queen),4.51,4.21,18.0,2022,259
3.0,7:18,2.0,8.0,BAL 14,10.0,24.0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,4.21,3.37,18.0,2022,259
3.0,7:13,3.0,8.0,BAL 14,10.0,24.0,Joe Burrow pass complete short right to Tyler Boyd for 6 yards (tackle by Damarion Williams),3.37,2.99,18.0,2022,259
3.0,6:31,4.0,2.0,BAL 8,10.0,27.0,Evan McPherson 26 yard field goal good,2.99,3.0,18.0,2022,259
3.0,6:27,,,CIN 35,10.0,27.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,259
3.0,6:27,1.0,10.0,BAL 25,10.0,27.0,Anthony Brown sacked by B.J. Hill for -1 yards,0.61,-0.07,18.0,2022,259
3.0,5:46,2.0,11.0,BAL 24,10.0,27.0,Anthony Brown pass incomplete short middle intended for Isaiah Likely (defended by Mike Hilton),-0.07,-0.76,18.0,2022,259
3.0,5:42,,,,,,Timeout #1 by Baltimore Ravens,,,18.0,2022,259
3.0,5:42,3.0,11.0,BAL 24,10.0,27.0,Anthony Brown pass complete short left to Charlie Kolar for 14 yards (tackle by Daxton Hill),-0.76,1.47,18.0,2022,259
3.0,5:06,1.0,10.0,BAL 38,10.0,27.0,Kenyan Drake left tackle for 8 yards (tackle by B.J. Hill),1.47,2.0,18.0,2022,259
3.0,4:23,2.0,2.0,BAL 46,10.0,27.0,Justice Hill left tackle for 4 yards (tackle by D.J. Reader and Vonn Bell),2.0,2.26,18.0,2022,259
3.0,3:32,1.0,10.0,BAL 50,10.0,27.0,Anthony Brown pass incomplete short right intended for Isaiah Likely,2.26,1.71,18.0,2022,259
3.0,3:31,2.0,10.0,BAL 50,10.0,27.0,Anthony Brown pass complete short left to Demarcus Robinson for 11 yards (tackle by Eli Apple),1.71,2.98,18.0,2022,259
3.0,2:53,1.0,10.0,CIN 39,10.0,27.0,Anthony Brown pass incomplete short middle intended for Josh Oliver,2.98,2.44,18.0,2022,259
3.0,2:42,2.0,10.0,CIN 39,10.0,27.0,Kenyan Drake right tackle for 6 yards (tackle by Jessie Bates and Cam Taylor-Britt),2.44,2.54,18.0,2022,259
3.0,2:08,3.0,4.0,CIN 33,10.0,27.0,Anthony Brown pass incomplete short middle intended for Isaiah Likely (defended by Zachary Carter),2.54,1.18,18.0,2022,259
3.0,2:04,4.0,4.0,CIN 33,13.0,27.0,Justin Tucker 51 yard field goal good,1.18,3.0,18.0,2022,259
3.0,1:59,,,BAL 35,13.0,27.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.61,18.0,2022,259
3.0,1:59,1.0,10.0,CIN 25,13.0,27.0,Joe Burrow pass incomplete deep right intended for Tee Higgins,0.61,0.06,18.0,2022,259
3.0,1:54,2.0,10.0,CIN 25,13.0,27.0,Joe Burrow pass complete short right to Ja'Marr Chase for 9 yards (tackle by Damarion Williams and Roquan Smith),0.06,0.56,18.0,2022,259
3.0,1:11,3.0,1.0,CIN 34,13.0,27.0,Joe Burrow pass incomplete deep right intended for Tee Higgins,0.56,-1.11,18.0,2022,259
3.0,1:04,4.0,1.0,CIN 34,13.0,27.0,Drue Chrisman punts 48 yards out of bounds,-1.11,-0.04,18.0,2022,259
3.0,0:57,1.0,10.0,BAL 18,13.0,27.0,Anthony Brown pass complete short right to Tylan Wallace for 12 yards (tackle by Logan Wilson),0.04,0.94,18.0,2022,259
3.0,0:36,1.0,10.0,BAL 30,13.0,27.0,Kenyan Drake right end for 2 yards (tackle by B.J. Hill and Jessie Bates),0.94,0.66,18.0,2022,259
3.0,0:04,2.0,8.0,BAL 32,13.0,27.0,Anthony Brown pass incomplete short left intended for Kenyan Drake (defended by Germaine Pratt),0.66,-0.03,18.0,2022,259
4.0,15:00,3.0,8.0,BAL 32,13.0,27.0,Anthony Brown pass complete short right to Sammy Watkins for 32 yards (tackle by Cam Taylor-Britt and Jessie Bates),-0.03,3.18,18.0,2022,259
